City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Varnamo,SE,2022-01-29 00:00:40,57.186,14.04,36.75,90,100,1.99
68,Port Hardy,CA,2022-01-29 00:00:38,50.6996,-127.4199,46.76,78,100,9.57
69,Medea,DZ,2022-01-29 00:00:41,36.2642,2.7539,28.85,61,2,3.74
70,Katsuura,JP,2022-01-29 00:00:42,35.1333,140.3,45.1,70,100,7.85
71,Ballina,AU,2022-01-28 23:58:28,-28.8667,153.5667,78.84,75,75,6.91
72,Hithadhoo,MV,2022-01-28 23:58:36,-0.6,73.0833,80.29,66,53,7.94
73,Roebourne,AU,2022-01-29 00:00:42,-20.7833,117.1333,82.08,61,49,12.75
74,Port Alfred,ZA,2022-01-28 23:59:47,-33.5906,26.891,65.79,81,22,7.96
75,Masunga,BW,2022-01-29 00:00:43,-20.6246,27.4488,66.18,93,100,6.96
76,Bengkulu,ID,2022-01-28 23:58:17,-3.8004,102.2655,76.14,86,100,3.49
77,Upernavik,GL,2022-01-29 00:00:44,72.7868,-56.1549,4.06,68,100,6.87
78,Bambous Virieux,MU,2022-01-29 00:00:44,-20.3428,57.7575,77.22,80,19,7.45
79,Busselton,AU,2022-01-29 00:00:44,-33.65,115.3333,76.05,50,39,9.15
80,Edson,CA,2022-01-29 00:00:45,53.5835,-116.4356,33.76,75,87,6.22
81,Acapulco,MX,2022-01-28 23:59:08,16.8634,-99.8901,80.69,70,0,7.49
82,North Bend,US,2022-01-28 23:59:40,43.4065,-124.2243,58.91,72,34,2.24
83,Burriana,ES,2022-01-29 00:00:46,39.889,-0.085,48.67,53,1,4.32
84,Bredasdorp,ZA,2022-01-29 00:00:46,-34.5322,20.0403,60.28,64,76,10.56
85,Mount Gambier,AU,2022-01-28 23:56:18,-37.8333,140.7667,67.91,77,75,14.97
86,Ndioum,SN,2022-01-29 00:00:46,16.5129,-14.6471,77.58,17,98,10.85
87,Nioro,GM,2022-01-29 00:00:47,13.35,-15.75,74.53,35,64,10.0
88,Terekli-Mekteb,RU,2022-01-29 00:00:47,44.1671,45.8698,31.46,75,19,5.35
89,Sao Filipe,CV,2022-01-29 00:00:48,14.8961,-24.4956,71.67,70,96,10.02
90,Trincomalee,LK,2022-01-29 00:00:48,8.5711,81.2335,78.91,82,54,14.09
91,Marshall,US,2022-01-28 23:58:04,34.3834,-86.3333,40.32,56,0,1.99
92,Airai,TL,2022-01-29 00:01:49,-8.9266,125.4092,66.58,77,100,4.27
93,Iqaluit,CA,2022-01-29 00:00:08,63.7506,-68.5145,-9.67,98,100,5.59
94,Dingle,PH,2022-01-29 00:01:04,10.9995,122.6711,79.38,82,40,3.8
95,Makhinjauri,GE,2022-01-29 00:01:49,41.6739,41.694,35.46,69,0,14.97
96,Cidreira,BR,2022-01-29 00:01:50,-30.1811,-50.2056,70.47,69,53,13.06
97,Tortoli,IT,2022-01-28 23:59:53,39.9256,9.6572,46.83,81,10,5.93
98,Port Blair,IN,2022-01-29 00:01:50,11.6667,92.75,78.48,79,84,8.03
99,Mar Del Plata,AR,2022-01-29 00:00:00,-38.0023,-57.5575,69.87,75,0,21.0
100,Pizarro,CO,2022-01-29 00:01:51,4.9533,-77.366,76.42,90,67,5.99
101,Staronizhestebliyevskaya,RU,2022-01-29 00:01:51,45.3767,38.4517,37.11,78,100,17.54
102,Thompson,CA,2022-01-29 00:01:52,55.7435,-97.8558,-5.31,96,100,2.89
103,Goderich,CA,2022-01-29 00:00:38,43.7501,-81.7165,6.91,92,48,9.13
104,Ilulissat,GL,2022-01-29 00:01:52,69.2167,-51.1,19.42,53,100,23.02
105,Te Anau,NZ,2022-01-29 00:01:20,-45.4167,167.7167,69.53,42,56,6.26
106,Chokurdakh,RU,2022-01-29 00:01:53,70.6333,147.9167,-30.03,96,95,1.86
107,Kungurtug,RU,2022-01-29 00:01:53,50.5994,97.5228,-24.57,99,82,1.52
