City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Osorio,BR,-29.8867,-50.2697,70.45,75,12,10.09,few clouds
80,Carnarvon,AU,-24.8667,113.6333,80.67,69,47,17.27,scattered clouds
81,Batagay-Alyta,RU,67.8006,130.4114,-21.42,94,72,2.77,broken clouds
82,Devrek,TR,41.2192,31.9558,37.17,98,100,5.1,overcast clouds
83,Deep River,CA,46.1001,-77.4995,8.94,94,99,2.15,overcast clouds
84,Fukue,JP,32.6881,128.8419,41.36,56,20,12.66,few clouds
85,Roebourne,AU,-20.7833,117.1333,87.1,49,78,12.46,broken clouds
86,Thinadhoo,MV,0.5333,72.9333,81.61,73,75,10.98,broken clouds
87,Puerto Ayora,EC,-0.7393,-90.3518,75.47,75,100,8.46,overcast clouds
88,Haines Junction,CA,60.7522,-137.5108,10.35,52,98,12.66,overcast clouds
89,Mar Del Plata,AR,-38.0023,-57.5575,67.87,80,75,15.01,broken clouds
90,Acapulco,MX,16.8634,-99.8901,84.02,65,20,5.75,few clouds
91,Talnakh,RU,69.4865,88.3972,-15.34,95,86,8.84,overcast clouds
92,Mahebourg,MU,-20.4081,57.7,79.09,94,75,9.22,broken clouds
93,Road Town,VG,18.4167,-64.6167,77.09,73,20,4.61,few clouds
94,Teya,RU,60.3778,92.6267,-2.7,99,97,2.59,overcast clouds
95,Fortuna,US,40.5982,-124.1573,60.19,79,0,1.99,clear sky
96,Hobart,AU,-42.8794,147.3294,74.01,66,20,6.91,few clouds
97,Port Elizabeth,ZA,-33.918,25.5701,70.09,94,20,11.5,few clouds
98,Vetluga,RU,57.8557,45.781,12.06,97,96,4.07,overcast clouds
99,Lorengau,PG,-2.0226,147.2712,79.09,85,100,12.95,overcast clouds
100,Hobyo,SO,5.3505,48.5268,76.57,79,96,16.17,light rain
101,Hoquiam,US,46.9809,-123.8893,47.26,92,100,21.85,moderate rain
102,Belaya Gora,RU,68.5333,146.4167,-32.17,100,87,2.26,overcast clouds
103,Hithadhoo,MV,-0.6,73.0833,81.55,70,76,8.93,broken clouds
104,Aden,YE,12.7794,45.0367,76.53,71,32,13.6,scattered clouds
105,Vetlanda,SE,57.4289,15.0776,28.4,65,2,9.04,clear sky
106,Souillac,MU,-20.5167,57.5167,79.18,94,75,9.22,light rain
107,Codrington,AU,-38.2667,141.9667,71.51,76,59,4.88,broken clouds
108,Pangnirtung,CA,66.1451,-65.7125,-21.53,83,92,6.22,overcast clouds
109,Nova Esperanca,BR,4.438,-61.1151,75.83,56,41,3.36,scattered clouds
110,Minsk,BY,53.9,27.5667,31.75,97,95,5.53,overcast clouds
111,Laguna,US,38.421,-121.4238,66.43,53,0,3.0,clear sky
112,Morehead,US,37.2711,-87.1764,38.98,57,0,1.01,clear sky
113,Marawi,PH,7.9986,124.2928,65.64,89,33,1.32,scattered clouds
114,Pitimbu,BR,-7.4706,-34.8086,79.39,78,29,10.96,scattered clouds
115,La Rioja,ES,42.25,-2.5,39.04,63,0,5.57,clear sky
116,Caravelas,BR,-17.7125,-39.2481,79.59,84,19,11.36,few clouds
117,Manadhoo,MV,5.7667,73.3833,82.06,75,73,13.18,broken clouds
118,Timra,SE,62.487,17.3257,22.68,86,7,10.36,clear sky
119,Capitao Poco,BR,-1.7464,-47.0594,72.84,96,96,4.47,heavy intensity rain
120,Rawson,AR,-43.3002,-65.1023,59.4,40,66,8.25,broken clouds
121,Vardo,NO,70.3705,31.1107,25.0,62,98,12.95,overcast clouds
122,Ridgecrest,US,35.6225,-117.6709,65.68,10,0,4.0,clear sky
123,Egvekinot,RU,66.3167,-179.1667,0.45,66,70,7.83,broken clouds
124,Mehamn,NO,71.0357,27.8492,29.19,81,99,3.06,light snow
125,Rio Gallegos,AR,-51.6226,-69.2181,55.45,35,75,27.63,broken clouds
126,Chuy,UY,-33.6971,-53.4616,71.64,72,16,14.05,few clouds
127,Yantal,RU,56.8471,105.2542,-1.3,100,99,1.95,overcast clouds
128,Saskylakh,RU,71.9167,114.0833,-20.81,100,98,2.62,overcast clouds
129,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,14.59,79,75,6.71,light snow
130,Srednekolymsk,RU,67.45,153.6833,-29.49,100,100,2.42,overcast clouds
131,Harper,LR,4.375,-7.7169,79.52,86,61,7.16,broken clouds
132,Urumqi,CN,43.801,87.6005,-4.85,84,75,0.0,mist
133,San Patricio,US,28.017,-97.5169,67.53,61,56,12.3,broken clouds
134,Tasiilaq,GL,65.6145,-37.6368,8.76,53,97,10.58,overcast clouds
135,Kurilsk,RU,45.2333,147.8833,18.63,65,100,18.7,overcast clouds
136,Nanortalik,GL,60.1432,-45.2371,17.73,83,100,23.31,snow
137,Abu Kamal,SY,34.4506,40.9171,45.93,63,46,8.86,scattered clouds
138,Arraial Do Cabo,BR,-22.9661,-42.0278,74.59,92,92,7.83,moderate rain
139,Fergus Falls,US,46.283,-96.0776,13.17,80,0,11.5,clear sky
140,Turka,UA,49.1541,23.0297,30.79,92,100,18.95,light snow
141,Iqaluit,CA,63.7506,-68.5145,-16.87,76,0,4.61,clear sky
142,Eureka,US,40.8021,-124.1637,57.67,77,89,3.89,overcast clouds
143,Tessalit,ML,20.1986,1.0114,68.5,15,24,10.11,few clouds
144,Mecca,SA,21.4267,39.8261,68.47,58,99,4.65,overcast clouds
145,Terre Haute,US,39.4667,-87.4139,31.96,65,0,3.0,clear sky
146,Barra Patuca,HN,15.8,-84.2833,73.63,72,85,15.3,overcast clouds
147,Ust-Kuyga,RU,70.0167,135.6,-35.55,100,98,4.29,overcast clouds
148,Parkersburg,US,39.2667,-81.5615,33.78,43,100,3.44,overcast clouds
149,Nuevo Progreso,MX,23.1667,-97.95,74.59,70,40,13.15,scattered clouds
150,Bardiyah,LY,31.7561,25.0865,55.87,71,37,19.66,scattered clouds
151,Wanning,CN,18.8003,110.3967,69.33,85,99,13.13,light rain
152,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.58,92,28,4.36,moderate rain
153,Gillingham,GB,51.3891,0.5486,47.37,85,99,11.01,overcast clouds
154,Barrow,US,71.2906,-156.7887,-5.78,77,75,10.36,light snow
155,Mount Isa,AU,-20.7333,139.5,76.77,100,75,11.5,light rain
156,Baykit,RU,61.67,96.37,-2.54,99,100,0.6,overcast clouds
157,San Carlos De Bariloche,AR,-41.1456,-71.3082,62.44,31,20,17.27,few clouds
158,Machilipatnam,IN,16.1667,81.1333,65.34,79,1,4.41,clear sky
159,New Norfolk,AU,-42.7826,147.0587,73.65,48,3,1.01,clear sky
160,Hasaki,JP,35.7333,140.8333,36.0,47,100,16.75,overcast clouds
161,Sistranda,NO,63.7256,8.834,31.89,69,91,6.69,overcast clouds
162,Stornoway,GB,58.2093,-6.3865,40.96,76,75,8.99,broken clouds
163,Evensk,RU,61.95,159.2333,20.84,80,100,22.06,overcast clouds
164,Borba,BR,-4.3878,-59.5939,72.7,96,99,2.46,light rain
165,Esmeraldas,BR,-19.7625,-44.3139,76.06,90,99,1.95,overcast clouds
166,Suicheng,CN,33.8963,117.9331,33.78,79,99,6.78,overcast clouds
167,Kalmunai,LK,7.4167,81.8167,76.06,87,48,4.54,scattered clouds
168,Delta Del Tigre,UY,-34.7633,-56.3853,82.89,58,2,7.09,clear sky
169,Pietersburg,ZA,-23.9045,29.4688,54.0,94,98,3.58,overcast clouds
170,Kodiak,US,57.79,-152.4072,27.91,64,0,11.5,clear sky
171,Balykshi,KZ,47.0667,51.8667,24.8,100,100,2.24,fog
172,Rodez,FR,44.5,2.5833,38.88,100,100,6.91,mist
173,Tombouctou,ML,20.0,-3.0,70.66,15,85,12.48,overcast clouds
174,Berbera,SO,10.4396,45.0143,72.57,68,27,6.49,scattered clouds
175,Port Lincoln,AU,-34.7333,135.8667,71.31,70,39,7.99,scattered clouds
176,Esperance,AU,-33.8667,121.9,67.84,80,38,16.6,scattered clouds
177,Nova Londrina,BR,-22.7658,-52.985,74.75,87,27,3.94,scattered clouds
178,Mackay,AU,-21.15,149.2,84.69,79,75,12.66,broken clouds
179,Khorixas,NA,-20.3667,14.9667,62.58,68,100,11.63,overcast clouds
180,Sungaipenuh,ID,-2.0833,101.3833,64.85,96,96,2.8,moderate rain
181,Faanui,PF,-16.4833,-151.75,80.98,71,17,11.61,few clouds
182,Norman Wells,CA,65.282,-126.8329,-25.56,68,75,0.0,light snow
183,Kuytun,RU,54.3419,101.5036,-7.73,99,100,2.33,overcast clouds
184,Liwale,TZ,-9.7667,37.9333,68.67,98,100,0.43,overcast clouds
185,Lauchhammer,DE,51.5,13.8,40.12,77,92,12.91,overcast clouds
186,Neiafu,TO,-18.65,-173.9833,81.72,69,100,7.07,overcast clouds
187,Gujar Khan,PK,33.2558,73.3026,47.62,54,55,2.26,broken clouds
188,Sabinas,MX,27.85,-101.1167,65.48,37,54,10.45,broken clouds
189,Hirara,JP,24.8,125.2833,60.66,58,75,18.41,broken clouds
190,Halifax,CA,44.6453,-63.5724,26.22,78,87,5.01,overcast clouds
191,Krasnorechenskiy,RU,44.6265,135.3532,-1.95,91,63,6.91,broken clouds
192,Boueni,YT,-12.9025,45.0761,78.78,71,2,6.26,clear sky
193,Madison,US,34.7334,-86.5667,56.28,34,0,6.91,clear sky
194,Cayenne,GF,4.9333,-52.3333,79.09,87,75,4.0,broken clouds
195,Calderitas,MX,18.55,-88.25,77.11,50,0,5.75,clear sky
196,Karoi,ZW,-16.8099,29.6925,62.62,96,97,5.57,overcast clouds
197,Belebey,RU,54.1167,54.1167,26.71,96,100,10.04,light snow
198,Adrar,MR,20.5022,-10.0711,73.2,13,100,11.3,overcast clouds
199,Kaeo,NZ,-35.1,173.7833,72.32,78,99,14.72,overcast clouds
200,Ponta Do Sol,PT,32.6667,-17.1,65.12,38,1,10.09,clear sky
201,Pandamatenga,BW,-18.5278,25.627,66.11,98,100,8.48,light rain
202,Port-Gentil,GA,-0.7193,8.7815,81.0,78,96,10.94,overcast clouds
203,Hamilton,US,39.1834,-84.5333,35.35,66,22,1.01,few clouds
204,Torbay,CA,47.6666,-52.7314,37.76,82,75,23.02,broken clouds
205,Nhamunda,BR,-2.1861,-56.7131,74.8,93,100,1.72,overcast clouds
206,Sitka,US,57.0531,-135.33,39.09,75,75,5.75,broken clouds
207,Dumas,US,35.8656,-101.9732,56.62,17,0,3.44,clear sky
208,Nelson Bay,AU,-32.7167,152.15,82.76,81,67,1.99,broken clouds
209,Biltine,TD,14.5333,20.9167,61.41,17,0,8.39,clear sky
210,Altamira,BR,-3.2033,-52.2064,72.59,98,100,0.92,overcast clouds
211,Margate,GB,51.3813,1.3862,45.88,80,90,8.01,overcast clouds
212,Ust-Kulom,RU,61.6864,53.6902,-9.99,100,88,2.89,overcast clouds
213,Weyburn,CA,49.6668,-103.8511,30.42,74,93,5.75,overcast clouds
214,Saint George,US,37.1041,-113.5841,63.43,16,0,1.99,clear sky
215,Kedainiai,LT,55.2883,23.9747,31.14,90,100,20.33,light snow
216,Surt,LY,31.2089,16.5887,57.04,62,17,13.76,few clouds
217,Padang,ID,-0.9492,100.3543,73.45,87,97,3.49,heavy intensity rain
218,Huarmey,PE,-10.0681,-78.1522,71.22,84,100,8.05,overcast clouds
219,Ternate,ID,0.8,127.4,81.09,75,95,10.76,overcast clouds
220,Ancud,CL,-41.8697,-73.8203,60.42,66,33,8.97,scattered clouds
221,Kitimat,CA,54.0524,-128.6534,39.58,69,99,4.07,overcast clouds
222,Tereze,RU,43.9361,42.4434,21.7,70,25,8.23,scattered clouds
223,Honiara,SB,-9.4333,159.95,83.75,76,100,3.98,overcast clouds
224,Elko,US,41.0002,-115.5012,44.62,34,12,2.24,few clouds
225,Moyale,KE,3.5167,39.0584,68.05,33,50,8.01,scattered clouds
226,Pimenteiras,BR,-6.2453,-41.4192,74.35,68,86,3.29,overcast clouds
227,Ozuluama,MX,21.6667,-97.85,64.53,76,23,12.75,few clouds
228,Fetesti,RO,44.3833,27.8333,36.55,69,60,12.24,broken clouds
229,Port Macquarie,AU,-31.4333,152.9167,83.89,69,8,6.46,clear sky
230,Raga,SS,8.4596,25.678,64.35,22,32,3.94,scattered clouds
231,Moose Factory,CA,51.2585,-80.6094,-9.4,70,0,5.75,clear sky
232,Berlevag,NO,70.8578,29.0864,28.89,66,100,10.45,light snow
233,Meulaboh,ID,4.1363,96.1285,76.03,87,76,4.29,broken clouds
234,Cuamba,MZ,-14.8031,36.5372,66.38,97,27,1.77,scattered clouds
235,Tommot,RU,58.9564,126.2925,-7.26,97,100,5.84,overcast clouds
236,Redlands,US,34.0556,-117.1825,73.45,18,0,5.99,clear sky
237,Inirida,CO,3.8653,-67.9239,77.97,54,14,1.45,few clouds
238,Sangar,RU,63.9242,127.4739,-36.31,100,86,1.92,overcast clouds
239,Linxia,CN,35.6003,103.2064,6.58,88,47,3.53,scattered clouds
240,Vysha,RU,53.8477,42.3777,24.03,95,100,10.27,snow
241,Vaitape,PF,-16.5167,-151.75,81.03,71,18,11.74,few clouds
242,Tilichiki,RU,60.4667,166.1,17.71,79,100,11.01,overcast clouds
243,Asau,RO,46.4333,26.4,38.95,66,99,16.51,overcast clouds
244,Port Hardy,CA,50.6996,-127.4199,41.76,87,75,8.05,broken clouds
245,Ilulissat,GL,69.2167,-51.1,3.22,55,20,18.41,few clouds
246,Krasnoselkup,RU,65.7,82.4667,3.15,95,99,8.61,overcast clouds
247,Kamenka,RU,51.3223,42.7678,27.75,96,100,16.13,light snow
248,Chirongui,YT,-12.9319,45.1483,78.73,71,2,6.29,clear sky
249,San Quintin,MX,30.4833,-115.95,62.67,54,1,10.29,clear sky
250,Cuenca,EC,-2.8833,-78.9833,59.13,82,75,11.5,broken clouds
251,Coihaique,CL,-45.5752,-72.0662,54.21,62,48,9.75,scattered clouds
252,Turbat,PK,26.0023,63.044,65.84,62,0,1.03,clear sky
253,Fenoarivo,MG,-18.933,47.4354,62.67,88,20,8.05,few clouds
254,Cherskiy,RU,68.75,161.3,-28.21,99,98,1.63,overcast clouds
255,Telimele,GN,10.9167,-13.3333,67.48,76,35,0.92,scattered clouds
256,Camocim,BR,-2.9022,-40.8411,76.51,78,99,8.9,overcast clouds
257,Wanaka,NZ,-44.7,169.15,71.73,52,34,2.89,scattered clouds
258,Oyama,JP,36.3,139.8,41.83,32,5,1.54,clear sky
259,Mapimi,MX,25.8167,-103.85,75.97,21,55,2.44,broken clouds
260,Kaitangata,NZ,-46.2817,169.8464,68.94,71,18,5.95,few clouds
261,Avarua,CK,-21.2078,-159.775,71.65,100,75,3.44,moderate rain
262,Aksu,CN,41.1231,80.2644,21.04,59,3,0.85,clear sky
263,Henties Bay,NA,-22.116,14.2845,66.85,79,100,8.57,overcast clouds
264,Chalus,IR,36.655,51.4204,40.46,75,20,0.0,few clouds
265,Hualmay,PE,-11.0964,-77.6139,71.56,80,100,9.78,overcast clouds
266,Iskateley,RU,67.6803,53.1512,12.65,93,100,14.32,overcast clouds
267,Vestmanna,FO,62.1564,-7.1664,34.72,64,75,31.07,broken clouds
268,Bulalacao,PH,12.3254,121.3435,80.13,77,12,15.37,few clouds
269,Sukhumi,GE,43.0033,41.0153,41.5,66,99,4.54,overcast clouds
270,Anadyr,RU,64.75,177.4833,-16.01,75,0,8.01,clear sky
271,Axim,GH,4.8699,-2.2405,77.9,86,86,4.61,overcast clouds
272,Bonthe,SL,7.5264,-12.505,77.05,89,12,4.32,few clouds
273,Gadung,PH,6.8025,124.02,80.6,72,54,2.59,broken clouds
274,Prince Rupert,CA,54.3161,-130.3201,38.89,87,100,5.75,light rain
275,Miraflores,MX,19.2167,-98.8083,72.03,42,4,3.78,clear sky
276,Cabo San Lucas,MX,22.8909,-109.9124,78.1,65,20,10.36,few clouds
277,Vostok,RU,46.4856,135.8833,-7.98,92,52,1.21,broken clouds
278,Fernie,CA,49.5,-115.0687,42.6,98,100,5.19,overcast clouds
279,Dilla,ET,6.41,38.31,60.91,36,99,4.05,overcast clouds
280,Seminole,US,28.7086,-81.2081,55.76,43,0,6.91,clear sky
281,Victoria,HK,22.2855,114.1577,59.25,77,90,10.0,overcast clouds
282,Rettikhovka,RU,44.1683,132.7669,5.76,90,100,2.53,overcast clouds
283,Grand Gaube,MU,-20.0064,57.6608,79.2,82,100,3.0,overcast clouds
284,Huilong,CN,31.8111,121.655,37.04,66,9,5.12,clear sky
285,Samarai,PG,-10.6167,150.6667,83.7,70,100,11.79,overcast clouds
286,Tukrah,LY,32.5341,20.5791,54.63,68,100,17.25,overcast clouds
287,Chokurdakh,RU,70.6333,147.9167,-29.65,96,16,2.21,few clouds
288,Nikolskoye,RU,59.7035,30.7861,27.39,96,100,5.3,light snow
289,Faya,SA,18.3851,42.4509,55.51,79,14,4.14,few clouds
290,Biloela,AU,-24.4167,150.5,84.94,51,13,1.54,few clouds
291,San-Pedro,CI,4.7485,-6.6363,78.4,90,44,6.51,scattered clouds
292,San Antonio,US,29.4241,-98.4936,70.81,37,0,9.22,clear sky
293,East London,ZA,-33.0153,27.9116,74.16,84,88,14.05,overcast clouds
294,Kaihua,CN,23.3687,104.28,46.69,97,100,4.43,light rain
295,Sorland,NO,67.667,12.6934,34.02,46,81,5.46,broken clouds
296,Taoudenni,ML,22.6783,-3.9836,71.37,13,82,19.6,broken clouds
297,Beringovskiy,RU,63.05,179.3167,-6.97,98,100,10.94,overcast clouds
298,Chiang Khong,TH,20.2613,100.4046,53.92,85,2,1.5,clear sky
299,Aksarka,RU,66.5606,67.7975,-12.78,100,90,3.71,overcast clouds
